created,text,retweetCount
2017-06-29 05:19:29,"RT @RenukaJain6: 540 firms post profit for 10 straight quarters; 10 rise 1,000% in 2 years. Demonetisation critics?  Where r you ? https://…",12
2017-06-29 05:19:27,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:19:01,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:18:25,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:18:06,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:18:03,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:17:06,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:17:05,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 05:16:56,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:16:33,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:16:29,"RT @KMruthyunjaya: We should go to people, with much publicity about  AICC demands which were put before Modi ,helpful to victimised people…",7
2017-06-29 05:15:35,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:15:18,@Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The prom… https://t.co/qNqWdoF74q,13
2017-06-29 05:14:57,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:14:38,"RT @united_abhi: @RBI showcase new Printing of Rs 200 with various colours.🙄
#DeMonetisation #futureofwork #200 #WednesdayWisdom https://t.…",4
2017-06-29 05:13:46,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:13:40,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:13:04,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:13:00,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 05:11:35,#GST is very welcoming reform for India. Hope Govt has completely done it's pre-execution Jobs unlike… https://t.co/mOrNY1W3ac,0
2017-06-29 05:11:02,After 7months #phase2 of #DeMonetisation @RBI https://t.co/P4y2rLLNu3,0
2017-06-29 05:09:21,@roshanjaisingh Wish that Government do demonetisation of Rs2000/- note sooner than later. Rs2000/- note is increas… https://t.co/zl2n6KW6yW,0
2017-06-29 05:09:21,"RT @united_abhi: @RBI showcase new Printing of Rs 200 with various colours.🙄
#DeMonetisation #futureofwork #200 #WednesdayWisdom https://t.…",4
2017-06-29 05:09:02,#socialinnovation #revolution Poetry like prose style site:USSR tackled queuesBut India cant https://t.co/uDAQjzAieF https://t.co/PLDqFytLur,0
2017-06-29 05:08:29,Demonetisation: “What India has done is commit a massive theft of people’s property – a shocking move for a... https://t.co/nVsXdoWmu8,0
2017-06-29 05:08:11,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:07:59,RT @ModiFansClub: @irvpaswan @crchaudharymos Worst service centres of @XiaomiIndia. Lines are longer than lines in banks during #DeMonetisa…,1
2017-06-29 05:06:24,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:06:08,"Printing of 200/- Rs note is excellent idea, it should be followed with withdrawal/demonetisation of Rs2000/- note to weed out Blackmoney.",0
2017-06-29 05:05:18,"RT @banknomics: Printing of Rs 200 begins, Is it a good step or bad? #Economy #Demonetisation #finance #India
https://t.co/NMUbtpDU55",1
2017-06-29 05:05:10,"Is 'GST Sale' to clear the goods before GST, another jolt to the commercial market who already are facing trouble after the demonetisation?",0
2017-06-29 05:04:59,"https://t.co/ezvVR9txvq
Good article helps understand the #farmers unrest in india post #DeMonetisation",0
2017-06-29 05:04:13,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 05:03:56,"Printing of Rs 200 begins, Is it a good step or bad? #Economy #Demonetisation #finance #India
https://t.co/NMUbtpDU55",1
2017-06-29 05:03:17,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:02:58,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 05:02:48,Agriculture finance: When lending stops https://t.co/B91HONVr7j,1
